feature_name,source_field,log_source,datatype,description,required_for,example
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33142,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33145,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33146,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33157,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33158,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33161,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33162,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2055,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2056,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-27189,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-28865,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-0055,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-46839,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-46840,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2053,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2054,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-37885,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-37886,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2904,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-30201,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-29796,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-29886,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-29888,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-29882,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-29898,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-45706,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-45715,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-28867,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20851,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20853,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31210,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31205,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31442,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31371,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31428,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31429,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31384,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-32531,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-32597,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-32603,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51791,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51793,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51795,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51796,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51797,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51798,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-33688,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-51794,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-33537,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-34379,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20871,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20872,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-40218,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-5971,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-32004,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-32020,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-3406,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-3643,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-37341,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-34809,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-23583,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-23554,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-23556,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-2470,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2024-36600,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37891,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-39463,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37098,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-1182,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-1573,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-1574,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37471,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37472,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-27782,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-27783,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-27784,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-27785,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-39494,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-39496,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-40928,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-38703,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-33656,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-33657,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-43899,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-46786,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-7259,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-47356,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-47352,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-47313,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-44010,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-34670,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-34672,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-42508,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-49968,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-7587,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-30124,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-49701,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-50434,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-50435,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-50436,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-50081,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-10491,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-30149,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37505,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-50342,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-11215,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-1379,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2024-9828,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-10709,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-10710,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-8299,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-8300,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-9852,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20139,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-49417,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-28688,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2019-25221,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2024-49775,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-56644,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-56646,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-11846,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37102,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37103,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37104,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37243,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37412,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37413,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37421,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37426,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37435,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37450,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37451,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37503,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37508,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-37937,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20149,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20153,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-20154,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-57795,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-23998,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-12774,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-23385,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-13219,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-13352,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-24700,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-31144,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-13704,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22921,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-30150,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-13669,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-57982,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-20647,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2025-0689,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1125,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-9458,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1382,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-11253,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-12009,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-12010,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-29903,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2025-2368,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-30610,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-0717,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1798,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-30881,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22644,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-2894,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-21946,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-32154,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-32185,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-27686,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2025-29988,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-3547,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22022,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22090,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22107,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22111,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-22121,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-40325,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-46398,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-46399,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-46400,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-47531,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2025-31177,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-46712,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-0921,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1625,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1626,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-1627,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-2524,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-2560,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-2561,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-47453,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2025-24473,10
