attack_id,name,description,primary_logs,mitre_techniques,default_severity
AP-CVE-2017-12234,CVE-2017-12234 Exploitation,"Multiple vulnerabilities in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS 12.4 through 15.6 could allow an unauthenticated, remote attacker to cause an affected devic...",web_logs;system_logs,CWE-20,75
AP-CVE-2017-12235,CVE-2017-12235 Exploitation,"A vulnerability in the implementation of the PROFINET Discovery and Configuration Protocol (PN-DCP) for Cisco IOS 12.2 through 15.6 could allow an unauthenticated, remote attacker to cause an affected...",web_logs;system_logs,CWE-20,75
AP-CVE-2017-12237,CVE-2017-12237 Exploitation,"A vulnerability in the Internet Key Exchange Version 2 (IKEv2) module of Cisco IOS 15.0 through 15.6 and Cisco IOS XE 3.5 through 16.5 could allow an unauthenticated, remote attacker to cause high CPU...",web_logs;system_logs,CWE-399,75
AP-CVE-2017-12238,CVE-2017-12238 Exploitation,"A vulnerability in the Virtual Private LAN Service (VPLS) code of Cisco IOS 15.0 through 15.4 for Cisco Catalyst 6800 Series Switches could allow an unauthenticated, adjacent attacker to cause a C6800...",web_logs;system_logs,CWE-399,65
AP-CVE-2017-12240,CVE-2017-12240 Exploitation,"The DHCP relay subsystem of Cisco IOS 12.2 through 15.6 and Cisco IOS XE Software contains a vulnerability that could allow an unauthenticated, remote attacker to execute arbitrary code and gain full ...",web_logs;system_logs,CWE-20,98
AP-CVE-2018-0147,CVE-2018-0147 Exploitation,"A vulnerability in Java deserialization used by Cisco Secure Access Control System (ACS) prior to release 5.8 patch 9 could allow an unauthenticated, remote attacker to execute arbitrary commands on a...",web_logs;system_logs,CWE-20,98
AP-CVE-2017-12319,CVE-2017-12319 Exploitation,"A vulnerability in the Border Gateway Protocol (BGP) over an Ethernet Virtual Private Network (EVPN) for Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause the device to re...",web_logs;system_logs,CWE-20,59
AP-CVE-2018-0151,CVE-2018-0151 Exploitation,"A vulnerability in the quality of service (QoS) subsystem of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition o...",web_logs;system_logs,CWE-119,98
AP-CVE-2018-0154,CVE-2018-0154 Exploitation,"A vulnerability in the crypto engine of the Cisco Integrated Services Module for VPN (ISM-VPN) running Cisco IOS Software could allow an unauthenticated, remote attacker to cause a denial of service (...",web_logs;system_logs,CWE-399,75
AP-CVE-2018-0155,CVE-2018-0155 Exploitation,"A vulnerability in the Bidirectional Forwarding Detection (BFD) offload implementation of Cisco Catalyst 4500 Series Switches and Cisco Catalyst 4500-X Series Switches could allow an unauthenticated, ...",web_logs;system_logs,CWE-388,86
AP-CVE-2018-0156,CVE-2018-0156 Exploitation,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a d...",web_logs;system_logs,CWE-399,75
AP-CVE-2018-0158,CVE-2018-0158 Exploitation,"A vulnerability in the Internet Key Exchange Version 2 (IKEv2) module of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a memory leak or a reload...",web_logs;system_logs,CWE-20,86
AP-CVE-2018-0159,CVE-2018-0159 Exploitation,"A vulnerability in the implementation of Internet Key Exchange Version 1 (IKEv1) functionality in Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause ...",web_logs;system_logs,CWE-20,75
AP-CVE-2018-0161,CVE-2018-0161 Exploitation,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to c...",web_logs;system_logs,CWE-399,63
AP-CVE-2018-0167,CVE-2018-0167 Exploitation,"Multiple Buffer Overflow vulnerabilities in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software could allow an unauthenticated, a...",web_logs;system_logs,CWE-119,88
AP-CVE-2018-0171,CVE-2018-0171 Exploitation,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a d...",web_logs;system_logs,CWE-20,98
AP-CVE-2018-0172,CVE-2018-0172 Exploitation,"A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload,...",web_logs;system_logs,CWE-20,86
AP-CVE-2018-0173,CVE-2018-0173 Exploitation,"A vulnerability in the Cisco IOS Software and Cisco IOS XE Software function that restores encapsulated option 82 information in DHCP Version 4 (DHCPv4) packets could allow an unauthenticated, remote ...",web_logs;system_logs,CWE-20,86
AP-CVE-2018-0174,CVE-2018-0174 Exploitation,"A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload,...",web_logs;system_logs,CWE-20,86
AP-CVE-2018-0175,CVE-2018-0175 Exploitation,"Format String vulnerability in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software could allow an unauthenticated, adjacent attac...",web_logs;system_logs,CWE-119,80
AP-CVE-2018-0179,CVE-2018-0179 Exploitation,"Multiple vulnerabilities in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a...",web_logs;system_logs,CWE-399,59
AP-CVE-2018-0180,CVE-2018-0180 Exploitation,"Multiple vulnerabilities in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a...",web_logs;system_logs,CWE-399,59
AP-CVE-2018-0296,CVE-2018-0296 Exploitation,"A vulnerability in the web interface of the Cisco Adaptive Security Appliance (ASA) could allow an unauthenticated, remote attacker to cause an affected device to reload unexpectedly, resulting in a d...",web_logs;system_logs,CWE-20,75
AP-CVE-2019-0543,CVE-2019-0543 Exploitation,"An elevation of privilege vulnerability exists when Windows improperly handles authentication requests, aka 'Microsoft Windows Elevation of Privilege Vulnerability.' This affects Windows 7, Windows Se...",web_logs;system_logs,CWE-287,78
AP-CVE-2019-2616,CVE-2019-2616 Exploitation,"Vulnerability in the BI Publisher (formerly XML Publisher) component of Oracle Fusion Middleware (subcomponent: BI Publisher Security). Supported versions that are affected are 11.1.1.9.0, 12.2.1.3.0 ...",web_logs;system_logs,NVD-CWE-noinfo,72
AP-CVE-2019-1429,CVE-2019-1429 Exploitation,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer, aka 'Scripting Engine Memory Corruption Vulnerability'. This CVE ID is...",web_logs;system_logs,CWE-416,75
AP-CVE-2019-4716,CVE-2019-4716 Exploitation,"IBM Planning Analytics 2.0.0 through 2.0.8 is vulnerable to a configuration overwrite that allows an unauthenticated user to login as 'admin', and then execute code as root or SYSTEM via TM1 scripting...",web_logs;system_logs,CWE-94,98
AP-CVE-2020-0618,CVE-2020-0618 Exploitation,"A remote code execution vulnerability exists in Microsoft SQL Server Reporting Services when it incorrectly handles page requests, aka 'Microsoft SQL Server Reporting Services Remote Code Execution Vu...",web_logs;system_logs,CWE-502,88
AP-CVE-2020-11738,CVE-2020-11738 Exploitation,The Snap Creek Duplicator plugin before 1.3.28 for WordPress (and Duplicator Pro before 3.8.7.1) allows Directory Traversal via ../ in the file parameter to duplicator_download or duplicator_init....,web_logs;system_logs,CWE-22,75
AP-CVE-2020-4430,CVE-2020-4430 Exploitation,"IBM Data Risk Manager 2.0.1, 2.0.2, 2.0.3, and 2.0.4 could allow a remote authenticated attacker to traverse directories on the system. An attacker could send a specially-crafted URL request to downlo...",web_logs;system_logs,CWE-22,43
AP-CVE-2020-16010,CVE-2020-16010 Exploitation,Heap buffer overflow in UI in Google Chrome on Android prior to 86.0.4240.185 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted H...,web_logs;system_logs,CWE-787,96
AP-CVE-2020-6572,CVE-2020-6572 Exploitation,Use after free in Media in Google Chrome prior to 81.0.4044.92 allowed a remote attacker to execute arbitrary code via a crafted HTML page....,web_logs;system_logs,CWE-416,88
AP-CVE-2021-31956,CVE-2021-31956 Exploitation,Windows NTFS Elevation of Privilege Vulnerability...,web_logs;system_logs,CWE-191,78
AP-CVE-2021-33044,CVE-2021-33044 Exploitation,The identity authentication bypass vulnerability found in some Dahua products during the login process. Attackers can bypass device identity authentication by constructing malicious data packets....,web_logs;system_logs,CWE-287,98
AP-CVE-2021-33045,CVE-2021-33045 Exploitation,The identity authentication bypass vulnerability found in some Dahua products during the login process. Attackers can bypass device identity authentication by constructing malicious data packets....,web_logs;system_logs,CWE-287,98
AP-CVE-2021-25743,CVE-2021-25743 Exploitation,"kubectl does not neutralize escape, meta or control sequences contained in the raw data it outputs to a terminal. This includes but is not limited to the unstructured string fields in objects such as ...",web_logs;system_logs,CWE-150,30
AP-CVE-2022-23130,CVE-2022-23130 Exploitation,"Buffer Over-read vulnerability in Mitsubishi Electric MC Works64 versions 4.00A to 4.04E, Mitsubishi Electric GENESIS64 versions 10.97 and prior, Mitsubishi Electric Iconics Digital Solutions GENESIS6...",web_logs;system_logs,CWE-126,59
AP-CVE-2021-36193,CVE-2021-36193 Exploitation,Multiple stack-based buffer overflows in the command line interpreter of FortiWeb before 6.4.2 may allow an authenticated attacker to achieve arbitrary code execution via specially crafted commands....,web_logs;system_logs,CWE-121,67
AP-CVE-2021-24977,CVE-2021-24977 Exploitation,"The Use Any Font | Custom Font Uploader WordPress plugin before 6.2.1 does not have any authorisation checks when assigning a font, allowing unauthenticated users to sent arbitrary CSS which will then...",web_logs;system_logs,CWE-862,61
AP-CVE-2022-29834,CVE-2022-29834 Exploitation,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions G...",web_logs;system_logs,CWE-22,75
AP-CVE-2022-33315,CVE-2022-33315 Exploitation,"Deserialization of Untrusted Data vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.97 to 10.97.1, Mitsubish...",web_logs;system_logs,CWE-502,78
AP-CVE-2022-33316,CVE-2022-33316 Exploitation,"Deserialization of Untrusted Data vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.97 to 10.97.1, Mitsubish...",web_logs;system_logs,CWE-502,78
AP-CVE-2022-33317,CVE-2022-33317 Exploitation,"Inclusion of Functionality from Untrusted Control Sphere vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.9...",web_logs;system_logs,CWE-829,78
AP-CVE-2022-33318,CVE-2022-33318 Exploitation,"Deserialization of Untrusted Data vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.97 to 10.97.1, Mitsubish...",web_logs;system_logs,CWE-502,98
AP-CVE-2022-33319,CVE-2022-33319 Exploitation,"Out-of-bounds Read vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric ICON...",web_logs;system_logs,CWE-125,82
AP-CVE-2022-33320,CVE-2022-33320 Exploitation,"Deserialization of Untrusted Data vulnerability in Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.1, Mitsubishi Electric Iconics Digital Solutions GENESIS64 versions 10.97 to 10.97.1, Mitsubish...",web_logs;system_logs,CWE-502,78
AP-CVE-2022-26138,CVE-2022-26138 Exploitation,The Atlassian Questions For Confluence app for Confluence Server and Data Center creates a Confluence user account in the confluence-users group with the username disabledsystemuser and a hardcoded pa...,web_logs;system_logs,CWE-798,98
AP-CVE-2022-37969,CVE-2022-37969 Exploitation,Windows Common Log File System Driver Elevation of Privilege Vulnerability...,web_logs;system_logs,CWE-787,78
AP-CVE-2022-32872,CVE-2022-32872 Exploitation,"A logic issue was addressed with improved restrictions. This issue is fixed in iOS 16, iOS 15.7 and iPadOS 15.7. A person with physical access to an iOS device may be able to access photos from the lo...",web_logs;system_logs,NVD-CWE-noinfo,24
AP-CVE-2022-32912,CVE-2022-32912 Exploitation,"An out-of-bounds read was addressed with improved bounds checking. This issue is fixed in Safari 16, iOS 16, iOS 15.7 and iPadOS 15.7. Processing maliciously crafted web content may lead to arbitrary ...",web_logs;system_logs,CWE-125,88
AP-CVE-2022-41033,CVE-2022-41033 Exploitation,Windows COM+ Event System Service Elevation of Privilege Vulnerability...,web_logs;system_logs,CWE-843,78
AP-CVE-2022-40684,CVE-2022-40684 Exploitation,"An authentication bypass using an alternate path or channel [CWE-288] in Fortinet FortiOS version 7.2.0 through 7.2.1 and 7.0.0 through 7.0.6, FortiProxy version 7.2.0 and version 7.0.0 through 7.0.6 ...",web_logs;system_logs,CWE-287,98
AP-CVE-2021-36858,CVE-2021-36858 Exploitation,Auth. (admin+) Stored Cross-Site Scripting (XSS) vulnerability in Themepoints Testimonials plugin <= 2.6 on WordPress....,web_logs;system_logs,CWE-79,48
AP-CVE-2022-41128,CVE-2022-41128 Exploitation,Windows Scripting Languages Remote Code Execution Vulnerability...,web_logs;system_logs,CWE-787,88
AP-CVE-2022-3539,CVE-2022-3539 Exploitation,"The Testimonials WordPress plugin before 2.7, super-testimonial-pro WordPress plugin before 1.0.8 do not sanitize and escape its settings, allowing high privilege users such as admin to perform cross-...",web_logs;system_logs,CWE-79,48
AP-CVE-2020-36645,CVE-2020-36645 Exploitation,"A vulnerability, which was classified as critical, was found in square squalor. This affects an unknown part. The manipulation leads to sql injection. Upgrading to version v0.0.0 is able to address th...",web_logs;system_logs,CWE-89,55
AP-CVE-2022-47443,CVE-2022-47443 Exploitation,Cross-Site Request Forgery (CSRF) vulnerability in Daniel Powney Multi Rating plugin <= 5.0.5 versions....,web_logs;system_logs,CWE-352,43
AP-CVE-2022-47433,CVE-2022-47433 Exploitation,Unauth. Reflected Cross-Site Scripting vulnerability in Daniel Powney Multi Rating plugin <= 5.0.5 versions....,web_logs;system_logs,CWE-79,71
AP-CVE-2023-33937,CVE-2023-33937 Exploitation,"Stored cross-site scripting (XSS) vulnerability in Form widget configuration in Liferay Portal 7.1.0 through 7.3.0, and Liferay DXP 7.1 before fix pack 18, and 7.2 before fix pack 5 allows remote atta...",web_logs;system_logs,CWE-79,54
AP-CVE-2023-33938,CVE-2023-33938 Exploitation,"Cross-site scripting (XSS) vulnerability in the App Builder module's custom object details page in Liferay Portal 7.3.0 through 7.4.0, and Liferay DXP 7.3 before update 14 allows remote attackers to i...",web_logs;system_logs,CWE-79,48
AP-CVE-2023-33941,CVE-2023-33941 Exploitation,"Multiple cross-site scripting (XSS) vulnerabilities in the Plugin for OAuth 2.0 module's OAuth2ProviderApplicationRedirect class in Liferay Portal 7.4.3.41 through 7.4.3.52, and Liferay DXP 7.4 update...",web_logs;system_logs,CWE-79,61
AP-CVE-2023-33942,CVE-2023-33942 Exploitation,"Cross-site scripting (XSS) vulnerability in the Web Content Display widget's article selector in Liferay Liferay Portal 7.4.3.50, and Liferay DXP 7.4 update 50 allows remote attackers to inject arbitr...",web_logs;system_logs,CWE-79,54
AP-CVE-2023-33945,CVE-2023-33945 Exploitation,"SQL injection vulnerability in the upgrade process for SQL Server in Liferay Portal 7.3.1 through 7.4.3.17, and Liferay DXP 7.3 before update 6, and 7.4 before update 18 allows attackers to execute ar...",web_logs;system_logs,CWE-89,64
AP-CVE-2023-33946,CVE-2023-33946 Exploitation,"The Object module in Liferay Portal 7.4.3.4 through 7.4.3.48, and Liferay DXP 7.4 before update 49 does properly isolate objects in difference virtual instances, which allows remote authenticated user...",web_logs;system_logs,CWE-284,27
AP-CVE-2023-33947,CVE-2023-33947 Exploitation,"The Object module in Liferay Portal 7.4.3.4 through 7.4.3.60, and Liferay DXP 7.4 before update 61 does not segment object definition by virtual instance in search which allows remote authenticated us...",web_logs;system_logs,CWE-284,27
AP-CVE-2023-33948,CVE-2023-33948 Exploitation,"The Dynamic Data Mapping module in Liferay Portal 7.4.3.67, and Liferay DXP 7.4 update 67 does not limit Document and Media files which can be downloaded from a Form, which allows remote attackers to ...",web_logs;system_logs,CWE-862,53
AP-CVE-2023-33949,CVE-2023-33949 Exploitation,"In Liferay Portal 7.3.0 and earlier, and Liferay DXP 7.2 and earlier the default configuration does not require users to verify their email address, which allows remote attackers to create accounts us...",web_logs;system_logs,CWE-1188,53
AP-CVE-2023-3193,CVE-2023-3193 Exploitation,"Cross-site scripting (XSS) vulnerability in the Layout module's SEO configuration in Liferay Portal 7.4.3.70 through 7.4.3.73, and Liferay DXP 7.4 update 70 through 73 allows remote attackers to injec...",web_logs;system_logs,CWE-79,61
AP-CVE-2023-32409,CVE-2023-32409 Exploitation,"The issue was addressed with improved bounds checks. This issue is fixed in watchOS 9.5, tvOS 16.5, macOS Ventura 13.4, iOS 15.7.8 and iPadOS 15.7.8, Safari 16.5, iOS 16.5 and iPadOS 16.5. A remote at...",web_logs;system_logs,NVD-CWE-noinfo,86
AP-CVE-2023-2003,CVE-2023-2003 Exploitation,"Embedded malicious code vulnerability in Vision1210, in the build 5 of operating system version 4.3, which could allow a remote attacker to store base64-encoded malicious code in the device's data tab...",web_logs;system_logs,CWE-506,91
AP-CVE-2023-31852,CVE-2023-31852 Exploitation,Cudy LT400 1.13.4 is vulnerable to Cross Site Scripting (XSS) in cgi-bin/luci/admin/network/wireless/config via the iface parameter....,web_logs;system_logs,CWE-79,61
AP-CVE-2023-3852,CVE-2023-3852 Exploitation,A vulnerability was found in OpenRapid RapidCMS up to 1.3.1. It has been declared as critical. This vulnerability affects unknown code of the file /admin/upload.php. The manipulation of the argument f...,web_logs;system_logs,CWE-434,47
AP-CVE-2023-4785,CVE-2023-4785 Exploitation,Lack of error handling in the TCP server in Google's gRPC starting version 1.23 on posix-compatible platforms (ex. Linux) allows an attacker to cause a denial of service by initiating a significant nu...,web_logs;system_logs,CWE-248,75
AP-CVE-2023-4911,CVE-2023-4911 Exploitation,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafte...,web_logs;system_logs,CWE-122,78
AP-CVE-2023-34975,CVE-2023-34975 Exploitation,"An OS command injection vulnerability has been reported to affect several QNAP operating system versions. If exploited, the vulnerability could allow authenticated administrators to execute commands v...",web_logs;system_logs,CWE-78,66
AP-CVE-2023-34976,CVE-2023-34976 Exploitation,"A SQL injection vulnerability has been reported to affect Video Station. If exploited, the vulnerability could allow authenticated users to inject malicious code via a network.  We have already fixed ...",web_logs;system_logs,CWE-89,100
AP-CVE-2023-5613,CVE-2023-5613 Exploitation,"The Super Testimonials plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'tpsscode' shortcode in all versions up to, and including, 2.9 due to insufficient input sanit...",web_logs;system_logs,CWE-79,64
AP-CVE-2023-28802,CVE-2023-28802 Exploitation,An Improper Validation of Integrity Check Value in Zscaler Client Connector on Windows allows an authenticated user to disable ZIA/ZPA by interrupting the service restart from Zscaler Diagnostics. Thi...,web_logs;system_logs,CWE-354,49
AP-CVE-2023-49269,CVE-2023-49269 Exploitation,Hotel Management v1.0 is vulnerable to multiple authenticated Reflected Cross-Site Scripting vulnerabilities. The 'adults' parameter of the reservation.php resource is copied into the HTML document as...,web_logs;system_logs,CWE-79,54
AP-CVE-2023-49270,CVE-2023-49270 Exploitation,Hotel Management v1.0 is vulnerable to multiple authenticated Reflected Cross-Site Scripting vulnerabilities. The 'check_in_date' parameter of the reservation.php resource is copied into the HTML docu...,web_logs;system_logs,CWE-79,54
AP-CVE-2023-49271,CVE-2023-49271 Exploitation,Hotel Management v1.0 is vulnerable to multiple authenticated Reflected Cross-Site Scripting vulnerabilities. The 'check_out_date' parameter of the reservation.php resource is copied into the HTML doc...,web_logs;system_logs,CWE-79,54
AP-CVE-2024-22049,CVE-2024-22049 Exploitation,httparty before 0.21.0 is vulnerable to an assumed-immutable web parameter vulnerability. A remote and unauthenticated attacker can provide a crafted filename parameter during multipart/form-data uplo...,web_logs;system_logs,CWE-472,53
AP-CVE-2023-50931,CVE-2023-50931 Exploitation,"An issue was discovered in savignano S/Notify before 2.0.1 for Bitbucket. While an administrative user is logged on, the configuration settings of S/Notify can be modified via a CSRF attack. The injec...",web_logs;system_logs,CWE-352,83
AP-CVE-2023-50932,CVE-2023-50932 Exploitation,"An issue was discovered in savignano S/Notify before 4.0.2 for Confluence. While an administrative user is logged on, the configuration settings of S/Notify can be modified via a CSRF attack. The inje...",web_logs;system_logs,CWE-352,83
AP-CVE-2023-5123,CVE-2023-5123 Exploitation,The JSON datasource plugin ( https://grafana.com/grafana/plugins/marcusolsson-json-datasource/ ) is a Grafana Labs maintained plugin for Grafana that allows for retrieving and processing JSON data fro...,web_logs;system_logs,CWE-22,80
AP-CVE-2022-48219,CVE-2022-48219 Exploitation,"Potential vulnerabilities have been identified in certain HP Desktop PC products using the HP TamperLock feature, which might allow intrusion detection bypass via a physical attack. HP is releasing fi...",web_logs;system_logs,CWE-693,64
AP-CVE-2022-48220,CVE-2022-48220 Exploitation,"Potential vulnerabilities have been identified in certain HP Desktop PC products using the HP TamperLock feature, which might allow intrusion detection bypass via a physical attack. HP is releasing fi...",web_logs;system_logs,CWE-203,64
AP-CVE-2023-51787,CVE-2023-51787 Exploitation,"An issue was discovered in Wind River VxWorks 7 22.09 and 23.03. If a VxWorks task or POSIX thread that uses OpenSSL exits, limited per-task memory is not freed, resulting in a memory leak....",web_logs;system_logs,CWE-200,75
AP-CVE-2023-37540,CVE-2023-37540 Exploitation,"Sametime Connect desktop chat client includes, but does not use or require, the use of an Eclipse feature called Secure Storage. Using this Eclipse feature to store sensitive data can lead to exposure...",web_logs;system_logs,CWE-922,39
AP-CVE-2021-33141,CVE-2021-33141 Exploitation,Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow an unauthenticated user to potentially enable denial of service via ...,web_logs;system_logs,CWE-20,86
AP-CVE-2021-33142,CVE-2021-33142 Exploitation,Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable denial of service via local ...,web_logs;system_logs,CWE-20,60
AP-CVE-2021-33145,CVE-2021-33145 Exploitation,Uncaught exception in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of privilege via local a...,web_logs;system_logs,CWE-248,72
AP-CVE-2021-33146,CVE-2021-33146 Exploitation,Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow an unauthenticated user to potentially enable information disclosure...,web_logs;system_logs,CWE-20,53
AP-CVE-2021-33157,CVE-2021-33157 Exploitation,Insufficient control flow management in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of pri...,web_logs;system_logs,CWE-691,72
AP-CVE-2021-33158,CVE-2021-33158 Exploitation,Improper neutralization in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of privilege via lo...,web_logs;system_logs,CWE-86,72
AP-CVE-2021-33161,CVE-2021-33161 Exploitation,Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of privilege via ...,web_logs;system_logs,CWE-20,72
AP-CVE-2021-33162,CVE-2021-33162 Exploitation,Improper access control in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow an authenticated user to potentially enable escalation of privilege vi...,web_logs;system_logs,CWE-284,84
AP-CVE-2024-2055,CVE-2024-2055 Exploitation,"The 'Rich Filemanager' feature of Artica Proxy provides a web-based interface for file management capabilities. When the feature is enabled, it does not require authentication by default, and runs as ...",web_logs;system_logs,CWE-288,98
AP-CVE-2024-2056,CVE-2024-2056 Exploitation,"Services that are running and bound to the loopback interface on the Artica Proxy are accessible through the proxy service. In particular, the 'tailon' service is running, running as the root user, is...",web_logs;system_logs,CWE-288,98
